barrio_key,lineas,rotulos,control
Z01_y_16_-_Centro_y_Centro_C_vico_Gral_Solari,7309,5223,0
Z02_-_Pietrobelli_y_Balc_n_del_Para_so,1211,1027,0
Z03_-_Jorge_Newbery,4091,1536,0
Z04_-_Las_Flores,1823,870,0
Z05_-_La_Floresta,2013,899,0
Z06_-_San_Mart_n,4305,1768,0
Z07_-_9_de_Julio,1454,899,0
Z08_-_13_de_Diciembre,1143,703,0
Z09_-_Jos_Fuchs,3508,1365,0
Z10_-_Ceferino_Namuncur,5486,2243,0
Z11_-_Gral_E_Mosconi_25_de_Mayo_y_Divina_Providencia,9173,5008,12
Z12_-_Presidente_Roberto_M_Ortiz_y_Las_Orqu_deas,5798,4209,37
Z13_-_Pr_spero_Palazzo,4356,3391,0
Z14_-_Ciudadela_Gasoducto_y_Padre_Juan_Corti,2321,1880,1
Z15_-_Laprida,3558,1843,0
Z17_y_Z18_-_Pueyrred_n_y_Tte_Gral_Julio_A_Roca,11566,7205,0
Z19_-_Bella_Vista_Sur_Los_Arenales_El_Atardecer_Bella_Vista_Oeste_Linderos,7731,5213,12
Z19_-_Chacras__Ampliaci_n_Urbana_y_Ex_Radio_Estaci_n_de_YPF,1497,1746,33
Z19_-_Chacras__Bella_Vista_Norte,270,277,27
Z19_-_Chacras__Km_17__y__Km_18__-_Partes_y_linderos,1316,447,24
Z19_-_Chacras__Sur,1829,1231,75
Z19_-_Minas_San_Jorge_George_Stephenson_Sol_de_Mayo_y_linderos,205,334,15
Z20_-23_y_33_-_Humberto_Beghin_Stella_Maris_Parque_Industrial_y_Acc_Sur,12140,6577,0
Z21_-_30_de_Octubre,1365,753,0
Z22_-_Saavedra,2179,1209,0
Z23_-_Stella_Maris,2687,1606,0
Z24_-_Don_Bosco_Std_Sur_Gdor_Fontana_Std_Norte_Restinga_Al,10107,8340,27
Z25_-_Diadema_Argentina,2428,1006,0
Z26_-_Manantial_Rosales,1616,492,15
Z27_-_Astra,2201,600,16
Z28_-_Caleta_C_rdova,1251,597,1
Z29_-_Doctor_Quirno_Costa,3112,1310,0
Z30_-_Juan_XXIII,3265,2308,0
Z31_-_M_ximo_Ab_solo,7609,3357,1
Z32_-_ARA_San_Juan_y_Acceso_Noroeste_Chacras,3519,3934,9
Z32_-_Centenario_Gesta_de_Malvinas_Dr_R_G_Favaloro_Aeropuerto_y_C_Chacabuco,6100,2928,9
Z34_-_Restinga_Al,1275,696,3
Z35_-_Cord_n_Forestal_Malvinas_Argentinas_Gdor_Roque_Gonzalez_y_Los_Tres_Pinos,8155,6497,14
Z36_-_San_Isidro_Labrador,2547,1144,0
Z37_-_Maestro_Isidro_Quiroga,4436,2190,0
Z38_-_J_J_Castelli_N_Rodriguez_Pe_a_Sarmiento_y_G_emes,5417,2481,7
Z39_y_41_-_San_Cayetano_y_Monse_or_A_D_Moure,7752,4474,0
Z40_-_Mario_Abel_Amaya,3303,1798,7
